ind_id,gender,car_owner,propert_owner,children,annual_income,type_income,education,marital_status,housing_type,work_phone,phone,email_id,family_members,work_experience,age,label
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,-0.0,52.0,1
5008865,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,9.0,44.0,0
5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1,4.0,47.0,0
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,3.0,28.0,0
5009023,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,0,0,1,4,9.0,43.0,0
5009053,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,4,7.0,31.0,0
5009074,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,0,1,1,3,2.0,49.0,0
5009118,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,0,0,0,1,2.0,44.0,0
5009146,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,2,11.0,44.0,0
5009195,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,2,24.0,58.0,0
5009207,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,2,24.0,58.0,0
5009269,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,1,1,0,2,5.0,29.0,0
5009291,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,2,14.0,42.0,0
5009301,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,1,0,1,6.0,45.0,0
5009319,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,2,-0.0,56.0,0
5009443,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,2,5.0,26.0,0
5009472,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,28.0,54.0,0
5009567,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,9.0,42.0,0
5009579,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,59.0,0
5009586,F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,1,3.0,40.0,0
5009663,M,N,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,1,5.0,28.0,0
5009706,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,0,0,0,2,1.0,32.0,0
5009739,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,13.0,41.0,0
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,2.0,38.0,1
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,2.0,44.0,1
5009749,F,Y,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,2.0,38.0,1
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,2.0,38.0,1
5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,1,1,0,2,2.0,38.0,1
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,2.0,38.0,1
5009790,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,-0.0,61.0,0
5009791,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,-0.0,61.0,0
5009798,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,-0.0,61.0,0
5009821,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2,15.0,41.0,0
5009845,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,1.0,44.0,0
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,61.0,1
5009908,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,11.0,53.0,0
5009918,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,4,2.0,35.0,0
5009941,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,7.0,30.0,0
5009980,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,2,11.0,57.0,0
5010010,F,N,Y,1,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,0,1,0,3,10.0,30.0,0
5010025,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,7.0,57.0,0
5010032,M,Y,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,-0.0,61.0,0
5010078,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,4,4.0,35.0,0
5010089,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,5.0,29.0,0
5010172,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,2.0,59.0,0
5010185,M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,2,19.0,46.0,0
5010202,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,0,0,1,2,6.0,28.0,0
5010203,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,0,0,1,2,6.0,28.0,0
5010218,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,3,23.0,48.0,0
5010225,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,3,23.0,48.0,0
5010226,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,3,23.0,48.0,0
5010238,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,12.0,46.0,0
5010303,F,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,2,18.0,56.0,0
5010344,F,N,N,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,63.0,0
5010397,F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,1,1,0,3,5.0,39.0,0
5010412,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,60.0,0
5010435,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,59.0,0
5010498,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,3,1.0,28.0,0
5010526,M,Y,Y,1,450000.0,Working,Higher education,Married,Office apartment,0,0,0,3,8.0,51.0,0
5010567,F,Y,Y,0,121500.0,Working,Higher education,Married,House / apartment,0,0,1,2,5.0,28.0,0
5010596,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,63.0,0
5010683,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,0,0,0,2,7.0,29.0,0
5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2,14.0,44.0,0
5010781,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,3,7.0,40.0,0
5010795,F,N,N,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,2,15.0,39.0,0
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,1,3,2.0,50.0,1
5010865,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,1,3,2.0,50.0,0
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,3,2.0,50.0,1
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1,2.0,50.0,1
5010874,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,-0.0,57.0,0
5010881,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,-0.0,57.0,0
